Irange,NPLC,Burn-in time,Chip group name,Chip number,Information,Laser voltage,Laser wavelength,Procedure version,Sample,Step time,VDS,VG end,VG start,VG step,Laser toggle,source_file,start_time,time_hms,VG,VSD end,VSD start,VSD step
0.0001,1.0,60.0,other,2.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,1.0,-1.0,0.2,false,raw_data/Serbian_Graphene/IVg2025-09-09_12.csv,1757445779.3732922,16:22:59,,,,
0.0001,1.0,60.0,other,2.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,1.0,-1.0,0.2,false,raw_data/Serbian_Graphene/IVg2025-09-09_13.csv,1757445828.254803,16:23:48,,,,
0.0001,1.0,60.0,other,2.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,5.0,-5.0,0.2,false,raw_data/Serbian_Graphene/IVg2025-09-09_11.csv,1757445329.4885848,16:15:29,,,,
0.0001,1.0,60.0,other,2.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,5.0,-5.0,0.2,false,raw_data/Serbian_Graphene/IVg2025-09-09_10.csv,1757445198.0288212,16:13:18,,,,
0.0001,1.0,60.0,other,2.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,1.0,-1.0,0.2,false,raw_data/Serbian_Graphene/IVg2025-09-09_14.csv,1757446575.7866263,16:36:15,,,,
0.0001,1.0,600.0,other,1.0,Scratch - Source,0.0,0.0,2.0.1,other,0.0,,,,,false,raw_data/Serbian_Graphene/IV2025-09-09_9.csv,1757446027.3556013,16:27:07,0.0,1.0,-1.0,0.05
0.001,1.0,600.0,other,1.0,Scratch - Source,0.0,0.0,2.0.1,other,0.0,,,,,false,raw_data/Serbian_Graphene/IV2025-09-09_8.csv,1757446007.8127143,16:26:47,0.0,1.0,-1.0,0.05
0.0001,1.0,60.0,other,2.0,Servian Graphene - Top Gate ?,0.0,0.0,2.1.0,other,0.0,0.075,5.0,-5.0,0.2,false,raw_data/Serbian_Graphene/IVg2025-09-09_1.csv,1757443286.6840177,15:41:26,,,,
0.0001,1.0,60.0,other,2.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,5.0,-5.0,0.2,false,raw_data/Serbian_Graphene/IVg2025-09-09_3.csv,1757444266.8525362,15:57:46,,,,
0.0001,1.0,60.0,other,1.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,5.0,-5.0,0.2,false,raw_data/Serbian_Graphene/IVg2025-09-09_2.csv,1757443944.0020893,15:52:24,,,,
0.00001,1.0,600.0,other,1.0,Scratch - Source,0.0,0.0,2.0.1,other,0.0,,,,,false,raw_data/Serbian_Graphene/IV2025-09-09_10.csv,1757446040.091051,16:27:20,0.0,1.0,-1.0,0.05
0.0001,1.0,60.0,other,2.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,5.0,-5.0,0.2,false,raw_data/Serbian_Graphene/IVg2025-09-09_6.csv,1757444623.8976266,16:03:43,,,,
0.0001,1.0,60.0,other,2.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,5.0,-5.0,0.2,false,raw_data/Serbian_Graphene/IVg2025-09-09_7.csv,1757444642.2841115,16:04:02,,,,
0.00001,1.0,600.0,other,1.0,Scratch - Source,0.0,0.0,2.0.1,other,0.0,,,,,false,raw_data/Serbian_Graphene/IV2025-09-09_11.csv,1757446063.381521,16:27:43,0.0,2.0,-2.0,0.05
1e-8,1.0,600.0,other,1.0,Scratch - Source,0.0,0.0,2.0.1,other,0.0,,,,,false,raw_data/Serbian_Graphene/IV2025-09-09_13.csv,1757446150.6100307,16:29:10,0.0,2.0,-2.0,0.05
0.0001,1.0,60.0,other,2.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,5.0,-5.0,0.2,false,raw_data/Serbian_Graphene/IVg2025-09-09_5.csv,1757444516.8890977,16:01:56,,,,
0.0001,1.0,60.0,other,2.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,5.0,-5.0,0.2,false,raw_data/Serbian_Graphene/IVg2025-09-09_4.csv,1757444409.6882641,16:00:09,,,,
1e-6,1.0,600.0,other,1.0,Scratch - Source,0.0,0.0,2.0.1,other,0.0,,,,,false,raw_data/Serbian_Graphene/IV2025-09-09_12.csv,1757446110.4034371,16:28:30,0.0,2.0,-2.0,0.05
0.0001,1.0,60.0,other,2.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,10.0,-10.0,0.2,false,raw_data/Serbian_Graphene/IVg2025-09-09_9.csv,1757445125.307619,16:12:05,,,,
0.0001,1.0,60.0,other,2.0,Servian Graphene,0.0,0.0,2.1.0,other,0.0,0.075,5.0,-5.0,0.2,false,raw_data/Serbian_Graphene/IVg2025-09-09_8.csv,1757445064.6374614,16:11:04,,,,
0.01,1.0,600.0,other,1.0,Servian top,0.0,0.0,2.0.1,other,0.0,,,,,false,raw_data/Serbian_Graphene/IV2025-09-09_5.csv,1757445617.784208,16:20:17,0.0,1.0,-1.0,0.05
0.01,1.0,600.0,other,1.0,Servian Graphene,0.0,0.0,2.0.1,other,0.0,,,,,false,raw_data/Serbian_Graphene/IV2025-09-09_4.csv,1757443559.6312978,15:45:59,0.0,1.0,-1.0,0.05
0.01,1.0,600.0,other,1.0,Scratch - Source,0.0,0.0,2.0.1,other,0.0,,,,,false,raw_data/Serbian_Graphene/IV2025-09-09_6.csv,1757445970.691204,16:26:10,0.0,1.0,-1.0,0.05
0.01,1.0,600.0,other,1.0,Scratch - Source,0.0,0.0,2.0.1,other,0.0,,,,,false,raw_data/Serbian_Graphene/IV2025-09-09_7.csv,1757445983.0571663,16:26:23,0.0,1.0,-1.0,0.05
0.01,1.0,600.0,other,2.0,Servian Graphene,0.0,0.0,2.0.1,other,0.0,,,,,false,raw_data/Serbian_Graphene/IV2025-09-09_3.csv,1757443376.8070998,15:42:56,0.0,1.0,-1.0,0.05
0.001,1.0,600.0,other,2.0,Servian Graphene,0.0,0.0,2.0.1,other,0.0,,,,,false,raw_data/Serbian_Graphene/IV2025-09-09_2.csv,1757443364.6924756,15:42:44,0.0,1.0,-1.0,0.05
0.0001,1.0,600.0,other,2.0,Servian Graphene,0.0,0.0,2.0.1,other,0.0,,,,,false,raw_data/Serbian_Graphene/IV2025-09-09_1.csv,1757443351.3880434,15:42:31,0.0,1.0,-1.0,0.05
